Terms,docFreq,postList
kayana,1,[0]
kayangan,1,[39]
kayu,4,"[68, 22, 64, 81]"
ke,31,"[15, 30, 40, 43, 14, 59, 39, 15, 47, 16, 4, 72, 59, 3, 38, 47, 5, 3, 59, 5, 61, 71, 6, 6, 68, 36, 13, 6, 78, 6, 77]"
kearah,1,[31]
keberangkatan,1,[46]
keberanian,1,[41]
kebersihannya,1,[17]
kebondowo,1,[25]
kebudayaan,3,"[59, 59, 65]"
kebun,1,[7]
kec,1,[10]
kecamatan,14,"[12, 67, 19, 17, 5, 8, 30, 22, 2, 25, 38, 14, 49, 13]"
kecap,1,[82]
keceh,3,"[60, 5, 6]"
kedai,1,[54]
kedalaman,3,"[13, 17, 23]"
kedamaian,1,[8]
kedua,1,[3]
keempat,1,[3]
kegiatan,1,[56]
kegigihannya,1,[41]
keheningan,1,[8]
keindahan,2,"[15, 53]"
kejauhan,1,[66]
keji,1,[33]
kekayaan,1,[54]
kelapa,1,[80]
keliling,2,"[85, 46]"
kelima,1,[3]
kelinci,2,"[6, 6]"
keluarga,13,"[24, 24, 60, 60, 54, 5, 9, 3, 10, 36, 61, 33, 9]"
kelurahan,2,"[67, 22]"
kembali,3,"[48, 47, 44]"
kembang,1,[81]
kembar,2,"[37, 37]"
kemdikbud,1,[59]
kementrian,1,[59]
kemiri,1,[13]
kempleng,2,"[75, 75]"
kemudian,5,"[64, 62, 83, 38, 47]"
kenang,1,[46]
kenangan,1,[57]
kenapa,1,[12]
kendaraan,4,"[26, 53, 58, 13]"
kendati,1,[55]
kental,1,[35]
kenyang,1,[5]
keong,3,"[72, 72, 72]"
kepada,1,[47]
kepala,1,[55]
kepang,1,[16]
kepenatan,1,[27]
kepeng,3,"[68, 68, 68]"
kepoin,1,[69]
kera,3,"[64, 64, 64]"
kerajinan,2,"[58, 16]"
keramaian,1,[8]
keramik,1,[50]
keren,1,[11]
kerep,4,"[12, 12, 22, 22]"
kereta,5,"[63, 20, 20, 20, 62]"
kering,1,[86]
keripik,1,[3]
kerupuk,1,[82]
kesatu,1,[3]
kesejukan,1,[23]
keseneng,1,[21]
kesenian,5,"[65, 65, 16, 16, 65]"
kesibukan,1,[27]
kesultanan,1,[1]
ketagihan,1,[72]
ketan,2,"[80, 43]"
ketiga,2,"[51, 3]"
ketika,1,[39]
ketinggian,9,"[14, 34, 66, 21, 49, 13, 6, 21, 34]"
keturunan,2,"[48, 47]"
keunikan,1,[81]
khas,19,"[40, 86, 50, 76, 84, 47, 35, 13, 78, 69, 71, 35, 63, 27, 44, 70, 85, 59, 37]"
khusus,3,"[59, 36, 14]"
kiai,1,[48]
kidcastle,1,[28]
kilometer,1,[20]
kincir,1,[15]
kingkong,1,[6]
kini,2,"[44, 1]"
kirinya,1,[31]
kisah,1,[64]
klasik,1,[44]
klenteng,9,"[39, 47, 47, 39, 47, 39, 39, 47, 47]"
klik,1,[43]
klinkhamer,1,[62]
km,7,"[33, 18, 30, 61, 26, 58, 77]"
kolam,16,"[17, 17, 5, 54, 6, 17, 27, 54, 17, 60, 23, 34, 18, 17, 17, 50]"
koleksi,4,"[51, 26, 46, 52]"
kolonial,3,"[57, 20, 52]"
komplek,2,"[29, 62]"
kompleks,1,[29]
komplit,3,"[9, 34, 43]"
komunitas,1,[59]
kondisi,1,[21]
kondisinya,1,[2]
konfigurasi,1,[44]
kong,1,[47]
konsep,2,"[54, 54]"
konservasi,1,[54]
konstruksi,1,[2]
kontur,1,[66]
kopeng,6,"[10, 24, 10, 10, 24, 24]"
kopi,9,"[18, 71, 31, 18, 18, 71, 71, 16, 18]"
kopyok,1,[82]
korban,1,[57]
korea,1,[9]
kota,46,"[40, 39, 59, 59, 60, 59, 26, 36, 38, 26, 59, 59, 56, 63, 55, 25, 54, 30, 38, 59, 43, 46, 38, 58, 67, 58, 38, 85, 67, 41, 55, 20, 44, 47, 31, 59, 59, 42, 64, 20, 80, 24, 86, 60, 53, 59]"
kotor,2,"[42, 42]"
kremes,1,[79]
kreo,3,"[64, 64, 64]"
kripik,1,[42]
krunya,1,[47]
ktp,1,[46]
kuah,1,[74]
kuat,1,[29]
kubis,1,[83]
kuda,2,"[29, 24]"
kudapan,3,"[70, 77, 84]"
kuil,1,[47]
kuliner,8,"[63, 13, 63, 3, 43, 61, 68, 3]"
kulineran,1,[9]
kuning,1,[69]
kunjungi,9,"[27, 42, 35, 24, 34, 49, 18, 47, 54]"
kuno,4,"[20, 62, 52, 20]"
kurang,3,"[29, 26, 30]"
kuuyyyy,1,[6]
kuy,1,[69]
kwan,1,[50]
labil,1,[55]
labirin,1,[11]
lagi,5,"[4, 28, 59, 36, 15]"
lain,14,"[54, 54, 54, 60, 59, 27, 16, 54, 18, 26, 43, 43, 45, 43]"
lainnya,14,"[10, 65, 4, 81, 59, 31, 34, 3, 28, 65, 79, 2, 59, 43]"
laksamana,1,[47]
lakukan,1,[61]
lalu,2,"[10, 38]"
lama,14,"[59, 59, 59, 66, 59, 59, 55, 59, 38, 25, 55, 66, 80, 59]"
lamper,1,[41]
lampu,1,[50]
langit,4,"[14, 14, 59, 59]"
langsung,4,"[7, 38, 15, 5]"
lanjut,3,"[24, 35, 10]"
lantai,1,[52]
lapangan,9,"[63, 66, 66, 66, 66, 66, 66, 66, 66]"
lapar,1,[13]
lapis,2,"[63, 14]"
latar,1,[45]
lauk,1,[78]
laut,1,[45]
lawang,8,"[62, 62, 62, 52, 81, 57, 62, 62]"
lawe,3,"[19, 19, 19]"
layang,1,[28]
layar,1,[38]
lebat,1,[53]
lebih,12,"[62, 47, 24, 47, 35, 28, 54, 46, 27, 24, 26, 30]"
legit,1,[63]
leisure,1,[34]
lele,3,"[60, 60, 60]"
lembaran,1,[84]
lembut,1,[81]
lempengan,1,[55]
lengkap,3,"[39, 2, 15]"
lennep,1,[55]
lereng,3,"[1, 29, 31]"
lerep,5,"[16, 17, 16, 16, 3]"
letaknya,1,[34]
letjen,1,[59]
lewat,2,"[44, 27]"
lewatkan,1,[59]
lho,2,"[0, 69]"
libur,1,[51]
liburan,2,"[43, 15]"
liburanmu,1,[6]
liburannya,1,[15]
lidah,2,"[35, 23]"
lihat,1,[6]
lilin,3,"[50, 57, 57]"
lima,4,"[66, 57, 13, 63]"
limbah,1,[16]
lingkar,1,[65]
little,1,[34]
live,1,[28]
lodeh,1,[78]
lokal,1,[27]
lokasi,4,"[21, 47, 29, 55]"
lokasinya,3,"[11, 9, 38]"
lomba,2,"[56, 56]"
lombok,1,[39]
longsor,1,[47]
lontong,6,"[78, 78, 78, 78, 78, 83]"
luar,2,"[25, 12]"
luas,6,"[66, 24, 54, 27, 28, 67]"
lukisan,1,[65]
lumer,1,[70]
lumina,2,"[45, 45]"
lumpia,1,[84]
lunak,1,[79]
lupa,2,"[2, 69]"
mabur,1,[37]
macam,2,"[73, 78]"
mada,1,[84]
maerakaca,2,"[45, 45]"
maerokoco,4,"[58, 53, 58, 53]"
magelang,2,"[26, 24]"
magnet,1,[12]
mahsyur,1,[64]
main,2,"[6, 6]"
majapahit,1,[2]
maka,3,"[59, 74, 64]"
makam,1,[41]
makamnya,1,[1]
makan,3,"[72, 68, 42]"
makanan,10,"[32, 86, 73, 68, 82, 37, 70, 16, 37, 54]"
makin,1,[5]
maksimal,1,[14]
malam,3,"[63, 59, 63]"
mampir,2,"[6, 72]"
mampirlah,1,[3]
mana,1,[59]
mancur,1,[38]
mandiri,1,[59]
mangkang,1,[54]
mangreho,1,[64]
mangrove,2,"[53, 53]"
manis,8,"[81, 74, 81, 74, 74, 86, 72, 82]"
mantap,3,"[71, 78, 69]"
marba,1,[59]
mari,2,"[71, 8]"
maria,9,"[22, 22, 8, 12, 12, 12, 22, 8, 22]"
marina,2,"[61, 61]"
marine,1,[34]
marmer,1,[44]
masa,4,"[38, 57, 59, 1]"
masakan,4,"[27, 78, 5, 35]"
maschaappij,1,[62]
masih,6,"[28, 55, 34, 59, 14, 70]"
masing,2,"[58, 58]"
masjid,10,"[48, 49, 48, 1, 49, 49, 49, 48, 64, 48]"
massa,1,[44]
masuk,4,"[36, 28, 38, 17]"
masyarakat,5,"[62, 2, 47, 47, 78]"
mata,3,"[17, 27, 21]"
matahari,3,"[25, 27, 25]"
mataram,1,[84]
mau,3,"[9, 6, 6]"
maulana,1,[48]
maupun,1,[52]
mbak,1,[72]
mbok,1,[73]
meeting,1,[18]
megah,2,"[47, 62]"
meh,4,"[78, 78, 78, 78]"
meja,1,[68]
mejadi,1,[55]
melakukan,2,"[22, 28]"
melalui,1,[27]
melanda,1,[67]
melatih,1,[58]
melawan,1,[41]
melayu,1,[59]
meleleh,1,[70]
melepas,1,[28]
melepaskan,1,[27]
melewati,2,"[21, 27]"
melewatkan,1,[71]
melihat,2,"[36, 52]"
meliputi,1,[47]
meliuk,1,[17]
melompat,1,[14]
melukis,1,[42]
memacu,2,"[9, 17]"
memadukan,1,[54]
memahami,1,[26]
memamerkan,2,"[38, 20]"
memancing,1,[61]
memandang,1,[27]
memanfaatkan,2,"[38, 29]"
memanjakan,2,"[23, 35]"
membakar,1,[57]
membangun,1,[64]
membangunnya,1,[47]
membawa,1,[20]
membeli,1,[36]
membelinya,1,[82]
memberi,2,"[42, 8]"
membuat,10,"[74, 34, 66, 42, 25, 3, 3, 66, 38, 43]"
membuka,1,[77]
memilih,1,[75]
memiliki,16,"[39, 16, 50, 67, 29, 18, 21, 49, 24, 28, 80, 74, 46, 24, 62, 17]"
meminta,1,[64]
memperingati,1,[57]
mempertahankan,1,[26]
memudahkan,1,[20]
memutuskan,1,[47]
menaiki,4,"[14, 46, 53, 63]"
menampilkan,2,"[38, 38]"
menanam,2,"[43, 43]"
menantang,2,"[10, 10]"
menantu,1,[41]
menara,6,"[62, 15, 49, 49, 49, 49]"
menarik,9,"[2, 36, 3, 31, 4, 59, 30, 40, 69]"
menawarkan,10,"[25, 35, 42, 34, 33, 66, 20, 45, 23, 13]"
mencapai,1,[66]
mencari,1,[64]
menceritakan,1,[57]
mencicip,1,[72]
mencicipi,4,"[16, 43, 61, 63]"
mencoba,1,[69]
mendapat,1,[41]
mendapatkan,2,"[25, 54]"
menegangkan,3,"[14, 14, 10]"
menenangkan,1,[8]
menetap,1,[47]
menetapkan,1,[59]
mengabadikan,1,[27]
mengadopsi,1,[44]
mengalami,1,[47]
mengantarkan,1,[39]
mengasyikkan,1,[59]
mengatasi,2,"[55, 67]"
mengelilingi,2,"[67, 63]"
mengenai,1,[54]
mengenal,2,"[62, 66]"
mengenang,1,[26]
menggelar,1,[39]
menggunakan,5,"[14, 10, 68, 14, 55]"
menghabiskan,5,"[33, 60, 25, 15, 34]"
menghangatkan,2,"[71, 85]"
menghormati,1,[47]
menghubungi,1,[43]
mengikuti,2,"[18, 59]"
mengubah,1,[20]
mengunjungi,4,"[29, 39, 33, 59]"
menikah,1,[47]
menikmati,8,"[31, 21, 59, 20, 36, 7, 56, 53]"
meninggalkan,1,[47]
menit,3,"[66, 53, 60]"
menjadi,14,"[79, 56, 23, 26, 33, 18, 15, 38, 12, 77, 66, 74, 60, 42]"
menjadikan,1,[34]
menjaga,1,[64]
menjajal,2,"[43, 11]"
menjelajahi,1,[67]
menjelang,1,[30]
menjual,2,"[63, 58]"
menjumpai,2,"[56, 63]"
mentah,1,[83]
menteri,1,[83]
menu,1,[78]
menuju,3,"[21, 61, 27]"
menunjukkan,2,"[46, 44]"
menurun,1,[27]
menurut,2,"[62, 48]"
menyajikan,3,"[36, 35, 27]"
menyaksikan,1,[16]
menyambut,1,[40]
menyebutnya,1,[2]
menyediakan,7,"[27, 26, 32, 30, 60, 32, 79]"
menyenangkan,4,"[42, 27, 28, 23]"
menyerupai,1,[78]
menyewa,1,[61]
menyimpan,4,"[51, 52, 26, 51]"
menyuguhkan,1,[15]
menyukai,1,[59]
menyusuri,3,"[39, 59, 53]"
merah,3,"[56, 47, 7]"
merangkum,1,[58]
merapat,1,[71]
merapi,1,[27]
merasakan,2,"[13, 38]"
merbabu,2,"[27, 24]"
merek,1,[80]
mereka,2,"[47, 25]"
merlion,1,[15]
merubah,1,[44]
merupakan,20,"[59, 59, 63, 78, 76, 62, 22, 26, 66, 60, 29, 52, 54, 64, 17, 49, 34, 32, 29, 20]"
meski,1,[42]
meskipun,1,[82]
meter,11,"[12, 23, 23, 47, 49, 45, 9, 11, 22, 13, 17]"
mewakili,1,[59]
mexico,1,[45]
mie,4,"[72, 82, 82, 73]"
mijen,1,[77]
milik,1,[51]
milimeter,1,[14]
militer,1,[20]
minggu,3,"[3, 17, 16]"
mini,1,[58]
miniatur,3,"[45, 15, 58]"
minuman,5,"[36, 68, 85, 16, 85]"
misalnya,1,[65]
modern,2,"[52, 76]"
moment,1,[27]
monggo,1,[71]
montor,1,[37]
monumen,3,"[57, 26, 57]"
mpdl,1,[34]
mpu,1,[59]
muda,7,"[52, 52, 62, 57, 61, 57, 56]"
mudah,3,"[9, 82, 61]"
mulai,5,"[51, 23, 77, 36, 68]"
mulut,1,[70]
munadi,1,[1]
muncar,1,[19]
muncul,3,"[30, 30, 30]"
murah,1,[54]
museum,24,"[46, 20, 46, 49, 20, 46, 20, 26, 52, 51, 51, 38, 51, 38, 38, 20, 20, 51, 46, 26, 51, 38, 54, 26]"
music,1,[28]
musik,1,[65]
musim,1,[69]
muslim,1,[47]
mystica,2,"[8, 8]"
naga,3,"[50, 50, 50]"
naik,2,"[67, 6]"
nama,4,"[70, 46, 75, 29]"
namanya,1,[78]
namun,3,"[29, 81, 21]"
nangka,1,[80]
nanti,1,[13]
nasi,4,"[63, 63, 43, 73]"
nasional,2,"[59, 51]"
natha,1,[40]
ndeso,2,"[43, 16]"
nederlandsch,1,[62]
negara,2,"[45, 26]"
negeri,2,"[12, 50]"
ngampin,3,"[74, 74, 74]"
ngecamp,1,[0]
nggak,1,[0]
ngipik,1,[16]
ngisor,1,[10]
night,1,[59]
nih,1,[0]
nikmat,1,[81]
nikmatnya,1,[71]
nilai,1,[46]
nis,1,[62]
nism,1,[55]
no,7,"[80, 46, 77, 75, 32, 38, 66]"
nongkrongnya,1,[65]
nuansa,4,"[27, 40, 66, 33]"
nya,2,"[69, 33]"
nyaman,2,"[59, 33]"
nyata,1,[5]
nyatnyono,1,[1]
obat,1,[32]
objek,2,"[26, 30]"
obyek,1,[58]
official,1,[54]
oh,3,"[6, 68, 11]"
olah,2,"[38, 31]"
olahan,3,"[36, 79, 79]"
olahraga,2,"[40, 66]"
oleh,28,"[24, 77, 77, 63, 9, 80, 55, 47, 80, 63, 9, 58, 51, 48, 59, 55, 84, 47, 67, 84, 29, 47, 47, 44, 79, 24, 43, 79]"
on,3,"[7, 36, 36]"
ondo,1,[14]
one,1,[18]
onionsand,1,[82]
onthel,1,[43]
oom,1,[69]
opor,2,"[78, 78]"
orang,12,"[23, 14, 65, 17, 54, 7, 63, 13, 82, 36, 51, 25]"
organik,2,"[32, 32]"
otak,2,"[79, 79]"
oudestad,1,[59]
oudetrap,1,[59]
out,1,[28]
outbond,1,[18]
outbound,3,"[23, 24, 27]"
outdoor,3,"[34, 18, 28]"
outlet,4,"[77, 77, 77, 77]"
package,1,[18]
pada,30,"[48, 67, 44, 55, 48, 55, 65, 59, 63, 51, 2, 33, 2, 21, 62, 47, 44, 81, 29, 48, 59, 41, 22, 57, 1, 78, 44, 20, 50, 55]"
padat,1,[76]
padi,1,[43]
padusan,2,"[30, 30]"
pagi,3,"[25, 16, 82]"
pagoda,2,"[47, 50]"
pahlawan,1,[26]
paintball,2,"[24, 27]"
pak,3,"[82, 75, 75]"
pakaian,2,"[42, 26]"
paket,3,"[20, 34, 43]"
pala,1,[31]
palagan,1,[26]
paling,1,[46]
pameran,3,"[65, 65, 62]"
pamularsih,1,[77]
panas,1,[70]
pancasila,1,[63]
pandan,2,"[48, 80]"
pandanaran,4,"[80, 84, 79, 57]"
panen,1,[42]
panggang,1,[79]
panggung,2,"[21, 44]"
pangus,1,[16]
panjang,1,[22]
panorama,5,"[67, 30, 7, 6, 25]"
pantai,4,"[53, 61, 61, 61]"
para,7,"[27, 41, 30, 66, 23, 26, 65]"
paralayang,1,[34]
park,1,[6]
paru,1,[75]
pas,1,[33]
pasar,4,"[48, 24, 16, 3]"
pasir,2,"[70, 54]"
pasti,2,"[66, 10]"
pati,1,[68]
patimura,1,[35]
patung,6,"[50, 12, 22, 15, 50, 22]"
patut,1,[34]
paviliun,2,"[58, 58]"
pecel,6,"[73, 73, 63, 43, 72, 72]"
pecinan,2,"[59, 39]"
pecinta,3,"[71, 25, 71]"
pedas,1,[72]
pedesaan,1,[35]
pedestrian,1,[59]
pegunungan,4,"[27, 27, 25, 20]"
pejuang,1,[41]
pekan,5,"[33, 9, 59, 34, 60]"
pelangi,1,[9]
pelat,1,[55]
peletakan,1,[55]
pemadatan,1,[55]
pemancingan,2,"[30, 28]"
pemandangan,10,"[35, 23, 31, 21, 34, 25, 66, 33, 31, 0]"
pemandian,4,"[30, 30, 30, 30]"
pemanfaatan,1,[16]
pembacaan,1,[65]
pembangunan,2,"[67, 55]"
pembeli,1,[75]
pembersihan,1,[17]
pembibitan,1,[30]
pembuatan,1,[43]
pembusukan,1,[47]
pementasan,1,[65]
pemerintahan,1,[59]
pemimpin,1,[48]
pemuda,1,[84]
penanaman,1,[18]
penasaran,2,"[72, 14]"
penat,1,[28]
pendeta,1,[44]
pendidikan,1,[59]
pendiri,1,[51]
penduduk,1,[47]
pengadilan,1,[52]
pengaman,1,[14]
penganan,1,[84]
pengelola,1,[43]
pengemasan,1,[18]
pengetahuan,1,[54]
penggemar,2,"[36, 27]"
penginapan,4,"[33, 4, 60, 34]"
pengolahan,3,"[36, 16, 18]"
pengunjung,22,"[35, 20, 54, 36, 28, 58, 36, 22, 18, 67, 36, 35, 43, 15, 31, 38, 14, 23, 34, 43, 40, 14]"
penikmat,1,[66]
pening,4,"[27, 25, 20, 25]"
peninggalan,5,"[62, 52, 29, 59, 1]"
penjaga,1,[64]
penjagaan,1,[27]
penjajah,1,[41]
penjelajah,1,[47]
penjualan,2,"[80, 79]"
penopang,1,[22]
penuh,2,"[45, 16]"
penyiar,1,[1]
peot,1,[46]
pepes,1,[79]
pepohonan,1,[56]
per,2,"[13, 36]"
perahu,4,"[67, 58, 53, 61]"
perairan,1,[67]
peranakan,1,[78]
perayaan,1,[78]
perbukitan,3,"[40, 66, 67]"
perdagangan,2,"[63, 55]"
perjalanan,3,"[53, 31, 59]"
perjuangan,1,[52]
perkebunan,5,"[36, 27, 31, 32, 0]"
perkembangan,1,[49]
perlu,1,[15]
permainan,7,"[10, 23, 58, 24, 28, 23, 17]"
permen,2,"[3, 36]"
pernah,4,"[51, 72, 48, 2]"
perosotan,3,"[17, 9, 23]"
perpaduan,3,"[72, 72, 74]"
persawahan,1,[21]
persegi,1,[47]
persimpangan,1,[57]
pertama,3,"[70, 55, 47]"
pertamakali,1,[20]
pertamanya,1,[44]
pertempuran,4,"[57, 26, 57, 57]"
pertemuan,2,"[40, 24]"
pertolongan,2,"[57, 57]"
pertunjukan,1,[65]
perusahaan,1,[51]
pesan,1,[5]
pesawat,1,[54]
pesona,2,"[12, 12]"
peta,1,[44]
peternakan,1,[36]
petik,3,"[7, 7, 0]"
petir,1,[48]
petis,4,"[83, 86, 63, 86]"
petualangan,1,[59]
pewayangan,1,[37]
peziarah,3,"[41, 1, 22]"
phoenix,1,[50]
pikiran,1,[3]
pilihan,4,"[77, 56, 13, 15]"
pindang,1,[78]
pinggir,1,[26]
pintu,3,"[59, 62, 62]"
piramida,1,[49]
piring,1,[78]
pjka,1,[28]
playground,1,[28]
plein,1,[57]
pln,1,[82]
pokdarwis,1,[16]
pon,1,[3]
poncol,1,[80]
pondasi,1,[47]
pong,1,[86]
poo,1,[47]
populer,1,[25]
porsi,2,"[75, 78]"
pos,1,[27]
potongan,1,[83]
prabu,1,[2]
praktis,1,[69]
prestasi,1,[51]
presto,3,"[79, 79, 79]"
pribadi,1,[58]
produk,2,"[36, 58]"
produksi,1,[76]
prof,1,[62]
proses,1,[36]
provinsi,2,"[47, 46]"
prpp,2,"[58, 53]"
pseudo,1,[44]
pt,1,[51]
puasa,1,[30]
pudji,2,"[77, 77]"
puisi,1,[65]
pukul,5,"[51, 51, 68, 17, 36]"
pula,6,"[50, 23, 62, 35, 2, 63]"
pun,2,"[64, 35]"
puncak,1,[16]
punya,3,"[78, 12, 11]"
pupuk,1,[32]
pura,2,"[40, 40]"
puri,2,"[53, 0]"
purwodinatan,1,[38]
purworejo,3,"[13, 13, 13]"
pusat,16,"[60, 55, 47, 59, 80, 58, 9, 62, 79, 53, 65, 25, 24, 20, 36, 80]"
putih,6,"[19, 19, 69, 76, 82, 54]"
putranya,1,[1]
putri,1,[55]
queendag,1,[62]
raad,1,[52]
rabu,1,[17]
racikan,1,[83]
raden,2,"[48, 65]"
raffles,1,[29]
raga,1,[31]
ragam,1,[61]
rahman,1,[46]
raja,2,"[2, 20]"
rajangan,1,[83]
raksasa,3,"[6, 67, 6]"
ramai,3,"[41, 1, 59]"
rame,2,"[5, 5]"
ranch,1,[34]
ranggawarsita,3,"[46, 46, 46]"
rangka,1,[57]
rapat,1,[35]
rapi,1,[59]
rasa,9,"[74, 78, 76, 72, 74, 77, 74, 74, 80]"
rasanya,1,[10]
ratus,1,[9]
ratusan,1,[59]
rawa,5,"[27, 25, 25, 20, 55]"
rawit,1,[69]
raya,5,"[26, 10, 18, 49, 77]"
real,1,[34]
rebana,1,[16]
rebung,2,"[84, 84]"
reco,2,"[14, 14]"
recreation,1,[34]
referensi,1,[4]
reguler,2,"[59, 28]"
rekor,2,"[51, 51]"
rekreasi,5,"[60, 36, 61, 54, 20]"
rel,2,"[81, 81]"
relaksasi,1,[3]
religi,2,"[40, 1]"
remah,1,[82]
remaja,1,[17]
rempah,2,"[81, 81]"
renang,8,"[34, 17, 5, 27, 28, 18, 17, 17]"
renovasi,3,"[44, 44, 44]"
renyah,1,[86]
reog,1,[16]
representasi,1,[57]
reservasi,3,"[43, 35, 16]"
residen,1,[48]
resmi,4,"[47, 49, 27, 54]"
resor,2,"[33, 35]"
resort,5,"[18, 27, 27, 28, 24]"
restaurant,1,[18]
resto,4,"[23, 4, 10, 27]"
restoran,5,"[33, 27, 32, 35, 24]"
ribu,1,[13]
ribuan,1,[15]
rica,1,[72]
rindang,1,[56]
ritual,2,"[30, 30]"
ritus,2,"[40, 40]"
robusta,1,[71]
roda,1,[13]
rombongan,1,[9]
rong,1,[27]
rosa,2,"[8, 8]"
roti,2,"[85, 81]"
rowoboni,2,"[30, 2]"
rp,7,"[28, 36, 28, 28, 17, 68, 28]"
rt,2,"[16, 17]"
ruang,2,"[35, 62]"
rukun,1,[16]
rumah,9,"[58, 44, 45, 59, 11, 45, 58, 45, 45]"
runtuh,1,[47]
rupiah,1,[13]
rusa,1,[54]
rustam,1,[20]
rutin,1,[30]
rw,1,[17]
saat,8,"[2, 44, 25, 70, 13, 8, 55, 77]"
sabtu,1,[17]
sadranan,1,[16]
saja,4,"[17, 3, 9, 15]"
saking,1,[6]
salah,8,"[60, 66, 46, 64, 77, 82, 73, 82]"
salatiga,2,"[24, 30]"
saleh,2,"[65, 46]"
salib,2,"[22, 22]"
salim,1,[48]
saling,1,[37]
salju,1,[11]
sam,1,[47]
sama,1,[44]
sambal,2,"[69, 78]"
sambaran,1,[48]
sambil,4,"[7, 14, 26, 20]"
sambirejo,1,[49]
sampai,7,"[47, 50, 64, 51, 71, 30, 9]"
samping,2,"[58, 59]"
sana,2,"[61, 0]"
sanctuary,1,[28]
sang,1,[2]
sangat,12,"[59, 30, 24, 27, 54, 33, 61, 76, 48, 71, 21, 70]"
sanjaya,1,[29]
santan,1,[74]
santorini,1,[45]
santoso,1,[16]
saos,1,[84]
sapi,3,"[42, 75, 16]"
sapu,1,[43]
sari,1,[85]
sate,3,"[75, 75, 75]"
satu,13,"[77, 78, 64, 76, 66, 82, 60, 20, 46, 75, 30, 82, 73]"
satunya,1,[20]
satwa,3,"[54, 54, 54]"
saus,3,"[73, 83, 82]"
sawah,3,"[33, 16, 30]"
sayur,2,"[78, 32]"
sayuran,5,"[73, 32, 24, 72, 32]"
sebagai,22,"[47, 40, 56, 76, 46, 20, 24, 59, 28, 65, 52, 47, 66, 62, 57, 48, 30, 62, 43, 1, 61, 62]"
sebelah,4,"[45, 27, 55, 54]"
sebelum,2,"[76, 55]"
sebelumnya,1,[55]
seberang,1,[57]
sebligo,1,[3]
sebuah,6,"[35, 59, 52, 27, 64, 26]"
sebutan,1,[62]
secangkir,1,[18]
secara,2,"[30, 46]"
sedap,1,[78]
sedikit,1,[74]
segar,9,"[21, 72, 32, 13, 24, 32, 7, 5, 7]"
segarnya,2,"[13, 5]"
segi,1,[44]
sehabis,1,[13]
sehari,1,[27]
sehat,2,"[32, 54]"
sehingga,9,"[37, 37, 17, 17, 29, 79, 86, 27, 81]"
sejak,6,"[75, 51, 53, 59, 22, 59]"
sejarah,11,"[62, 38, 38, 26, 26, 38, 49, 62, 46, 59, 48]"
sejauh,1,[27]
sejenis,1,[85]
sejuk,3,"[12, 32, 33]"
sejuknya,1,[27]
sejumlah,1,[15]
sekali,4,"[30, 70, 44, 43]"
sekaligus,3,"[63, 7, 40]"
sekarang,4,"[14, 47, 44, 62]"
sekilas,1,[78]
sekitar,21,"[31, 53, 34, 85, 61, 20, 52, 52, 20, 2, 6, 52, 60, 21, 37, 66, 64, 31, 33, 58, 13]"
sekitarnya,4,"[65, 76, 6, 77]"
selain,7,"[34, 32, 84, 35, 51, 53, 15]"
selalu,3,"[41, 17, 1]"
selama,2,"[31, 55]"
selasa,1,[17]
selatan,1,[5]
seledri,1,[82]
selengkapnya,4,"[33, 34, 0, 43]"
selesai,2,"[48, 5]"
selfie,1,[4]
selo,1,[10]
seluas,3,"[67, 47, 14]"
seluncuran,1,[10]
semangat,1,[57]
semarang,88,"[59, 1, 65, 38, 77, 59, 12, 2, 0, 46, 46, 42, 59, 65, 34, 59, 54, 54, 11, 64, 41, 77, 60, 55, 82, 59, 54, 36, 57, 3, 38, 17, 55, 55, 26, 40, 18, 59, 54, 18, 70, 30, 59, 3, 25, 60, 79, 62, 67, 67, 34, 5, 14, 86, 15, 39, 85, 56, 38, 63, 48, 78, 66, 38, 38, 77, 6, 63, 38, 67, 2, 59, 47, 76, 3, 66, 10, 67, 72, 80, 6, 8, 20, 59, 44, 54, 16, 43]"
semarangzoo,1,[54]
semasa,1,[41]
semawis,1,[85]
sembari,2,"[53, 8]"
sembilan,2,"[29, 29]"
semilir,3,"[9, 9, 53]"
semirang,1,[31]
semua,2,"[58, 29]"
semuanya,1,[4]
sendiri,2,"[27, 32]"
seni,2,"[33, 65]"
seniman,1,[65]
senin,2,"[51, 17]"
senjata,2,"[26, 52]"
sensasi,2,"[14, 72]"
sentra,2,"[76, 63]"
seolah,1,[38]
seorang,3,"[41, 48, 47]"
sepakung,4,"[71, 71, 14, 14]"
sepanjang,3,"[59, 45, 79]"
sepeda,6,"[31, 58, 43, 63, 28, 27]"
sepert,1,[80]
seperti,23,"[65, 24, 28, 34, 36, 58, 5, 16, 50, 63, 56, 57, 78, 23, 79, 10, 43, 40, 27, 28, 63, 75, 81]"
serabi,5,"[74, 74, 74, 74, 74]"
serangan,1,[57]
serasi,6,"[76, 76, 76, 76, 76, 69]"
seratnya,1,[19]
serbai,1,[74]
seribu,1,[62]
sering,3,"[56, 62, 56]"
serta,6,"[80, 16, 72, 15, 66, 14]"
seru,9,"[10, 10, 59, 9, 5, 60, 34, 10, 28]"
seruan,1,[10]
serundeng,1,[43]
serunya,1,[3]
serupa,1,[2]
service,1,[18]
sesuai,2,"[44, 26]"
setebal,1,[14]
setelah,3,"[47, 78, 10]"
