Terms,docFreq,postList
bercat,1,[56]
bercocok,1,[16]
berdakwah,1,[1]
berdasarkan,1,[2]
berdekatan,1,[37]
berdiri,2,"[51, 50]"
berdirinya,1,[1]
berdoa,2,"[8, 22]"
berenang,1,[5]
berfoto,5,"[14, 45, 56, 56, 3]"
berfungsi,2,"[47, 40]"
bergaya,2,"[44, 59]"
bergelombang,1,[66]
beribadah,1,[39]
berisi,2,"[85, 75]"
berjalan,1,[59]
berjarak,3,"[30, 60, 25]"
berjauhan,1,[29]
berjuang,1,[26]
berkaitan,1,[51]
berkeliling,2,"[43, 61]"
berkelok,1,[27]
berkemah,3,"[56, 29, 0]"
berkesenian,1,[40]
berkonsep,1,[34]
berkunjung,4,"[30, 40, 77, 43]"
berlama,2,"[25, 66]"
berlapis,2,"[48, 47]"
berliku,1,[21]
berlokasi,3,"[19, 55, 28]"
bermain,4,"[13, 9, 18, 42]"
bermotor,2,"[13, 53]"
bernama,2,"[36, 26]"
bernuansa,1,[32]
berolahraga,1,[28]
berpadu,1,[66]
berpusat,1,[18]
bersama,7,"[61, 33, 10, 1, 3, 60, 7]"
bersandar,1,[14]
bersantai,1,[10]
bersejarah,1,[59]
berselera,1,[5]
bersumber,1,[17]
bertabur,1,[81]
bertahan,1,[84]
bertaraf,1,[66]
berubah,1,[52]
berukuran,1,[59]
berupa,5,"[55, 30, 65, 62, 17]"
berusia,1,[59]
berwarna,2,"[76, 81]"
berwisata,1,[59]
berwujud,1,[57]
berziarah,1,[8]
besar,5,"[81, 59, 9, 48, 67]"
besarnya,1,[6]
besi,1,[14]
betah,3,"[25, 66, 7]"
beternak,1,[16]
beton,1,[55]
biasa,4,"[25, 25, 84, 43]"
biasanya,2,"[58, 82]"
biaya,1,[36]
bibit,1,[32]
bidadari,1,[21]
bikin,4,"[69, 5, 72, 7]"
billiard,1,[24]
bin,1,[41]
bintoro,1,[1]
biru,1,[30]
bisa,26,"[67, 4, 13, 27, 27, 5, 5, 6, 6, 6, 54, 29, 46, 0, 13, 42, 7, 56, 9, 85, 10, 10, 85, 11, 13, 28]"
blanten,1,[17]
blauwboer,1,[55]
blenduk,2,"[59, 44]"
blume,1,[48]
boleh,1,[72]
bolodewo,3,"[37, 37, 37]"
bond,1,[28]
bonjol,1,[57]
boom,1,[54]
brawijaya,2,"[2, 2]"
brigde,1,[34]
bu,2,"[77, 77]"
buah,6,"[32, 32, 24, 46, 32, 43]"
buahan,1,[43]
buat,1,[4]
buatan,1,[27]
bubakan,1,[38]
budaya,8,"[59, 16, 26, 47, 65, 30, 59, 46]"
buka,9,"[17, 77, 77, 51, 17, 17, 36, 68, 77]"
bukan,1,[43]
bukit,3,"[25, 25, 27]"
bulan,2,"[55, 30]"
bumbu,2,"[72, 86]"
bumbung,1,[16]
bunda,2,"[22, 12]"
bundaran,1,[38]
bunga,5,"[15, 15, 15, 15, 15]"
bungkus,1,[76]
bupati,1,[48]
buruan,1,[1]
burung,1,[56]
bus,2,"[46, 46]"
butterfly,1,[28]
cabe,1,[69]
caf,1,[28]
cagar,2,"[59, 59]"
cairan,1,[74]
camilan,1,[69]
campuran,3,"[82, 49, 83]"
