Freq,Posting_ptr,Terms_ptr
5,"[55, 30, 65, 62, 17]",1469
1,[59],1475
2,"[76, 81]",1482
1,[59],1490
1,[57],1499
1,[8],1507
5,"[81, 59, 9, 48, 67]",1516
1,[6],1521
1,[14],1529
3,"[25, 66, 7]",1533
1,[16],1538
1,[55],1546
4,"[25, 25, 84, 43]",1551
2,"[58, 82]",1556
1,[36],1564
1,[32],1569
1,[21],1574
4,"[69, 5, 72, 7]",1582
1,[24],1587
1,[41],1595
1,[1],1598
1,[30],1605
26,"[67, 4, 13, 27, 27, 5, 5, 6, 6, 6, 54, 29, 46, 0, 13, 42, 7, 56, 9, 85, 10, 10, 85, 11, 13, 28]",1609
1,[17],1613
1,[55],1620
2,"[59, 44]",1629
1,[48],1636
1,[72],1641
3,"[37, 37, 37]",1646
1,[28],1654
1,[57],1658
1,[54],1664
2,"[2, 2]",1668
1,[34],1677
2,"[77, 77]",1683
6,"[32, 32, 24, 46, 32, 43]",1685
1,[43],1689
1,[4],1695
1,[27],1699
1,[38],1705
8,"[59, 16, 26, 47, 65, 30, 59, 46]",1712
9,"[17, 77, 77, 51, 17, 17, 36, 68, 77]",1718
1,[43],1722
3,"[25, 25, 27]",1727
2,"[55, 30]",1732
2,"[72, 86]",1737
1,[16],1742
2,"[22, 12]",1749
1,[38],1754
5,"[15, 15, 15, 15, 15]",1762
1,[76],1767
1,[48],1774
1,[1],1780
1,[56],1786
2,"[46, 46]",1792
1,[28],1795
1,[69],1804
1,[28],1808
2,"[59, 59]",1811
1,[74],1816
1,[69],1822
3,"[82, 49, 83]",1829
14,"[29, 2, 29, 2, 2, 11, 29, 15, 29, 2, 2, 2, 29, 29]",1837
1,[21],1842
4,"[78, 78, 78, 78]",1851
2,"[16, 42]",1854
1,[59],1860
1,[79],1863
5,"[9, 4, 4, 71, 13]",1867
2,"[6, 6]",1871
1,[10],1876
3,"[15, 15, 15]",1882
4,"[74, 34, 74, 47]",1889
2,"[38, 80]",1898
1,[81],1909
1,[24],1916
1,[83],1922
3,"[47, 47, 47]",1928
1,[36],1933
2,"[36, 36]",1942
4,"[47, 47, 47, 47]",1948
2,"[25, 25]",1952
1,[44],1957
2,"[74, 77]",1961
1,[66],1965
4,"[17, 17, 23, 23]",1974
3,"[7, 6, 5]",1976
9,"[54, 31, 28, 27, 27, 31, 24, 71, 61]",1982
1,[69],1987
1,[18],1994
6,"[36, 36, 36, 36, 81, 36]",2000
1,[80],2007
1,[48],2013
1,[54],2024
2,"[28, 18]",2027
1,[36],2037
2,"[70, 70]",2043
1,[18],2049
10,"[29, 29, 21, 8, 25, 28, 17, 53, 17, 55]",2054
3,"[7, 71, 11]",2059
1,[19],2063
12,"[21, 21, 37, 21, 19, 19, 13, 37, 16, 13, 37, 13]",2068
1,[0],2073
11,"[83, 76, 76, 83, 83, 37, 58, 47, 47, 1, 58]",2077
1,[75],2083
2,"[76, 28]",2089
11,"[19, 80, 49, 62, 49, 38, 62, 57, 26, 57, 41]",2095
1,[70],2100
174,"[84, 71, 33, 17, 71, 59, 61, 42, 83, 18, 17, 73, 31, 2, 18, 18, 43, 59, 83, 43, 32, 43, 72, 32, 31, 60, 86, 59, 44, 10, 17, 72, 20, 59, 44, 28, 47, 81, 47, 47, 52, 81, 47, 28, 28, 54, 54, 24, 24, 77, 54, 54, 28, 25, 54, 47, 78, 49, 80, 5, 27, 80, 5, 27, 50, 26, 48, 80, 27, 27, 50, 27, 51, 4, 78, 27, 24, 47, 77, 57, 21, 75, 58, 21, 58, 46, 58, 22, 45, 45, 59, 30, 74, 20, 30, 10, 59, 74, 76, 57, 76, 55, 47, 24, 77, 24, 47, 29, 76, 23, 56, 76, 56, 23, 23, 29, 62, 46, 82, 57, 59, 17, 27, 41, 40, 35, 0, 13, 41, 36, 16, 34, 36, 38, 15, 62, 65, 37, 39, 35, 62, 63, 65, 65, 64, 16, 16, 63, 35, 85, 62, 16, 68, 65, 36, 85, 14, 34, 41, 69, 36, 84, 65, 35, 86, 34, 38, 16, 12, 68, 35, 33, 14, 67]",2108
1,[67],2111
1,[5],2116
46,"[20, 38, 32, 29, 43, 16, 36, 39, 53, 36, 59, 63, 59, 44, 84, 18, 63, 63, 52, 56, 35, 53, 4, 43, 26, 43, 59, 36, 76, 33, 80, 84, 45, 37, 75, 79, 61, 16, 33, 58, 82, 60, 22, 63, 67, 82]",2122
1,[47],2127
69,"[28, 59, 11, 33, 52, 82, 73, 36, 70, 76, 44, 60, 59, 19, 8, 47, 68, 66, 58, 44, 26, 58, 27, 30, 29, 17, 80, 24, 7, 74, 15, 20, 41, 6, 46, 57, 29, 64, 53, 21, 47, 74, 32, 29, 27, 72, 25, 86, 38, 23, 45, 56, 34, 37, 66, 84, 46, 12, 50, 50, 17, 48, 61, 30, 74, 1, 37, 9, 83]",2134
6,"[5, 77, 15, 4, 68, 16]",2138
1,[34],2144
3,"[64, 62, 5]",2151
2,"[59, 44]",2155
1,[62],2157
2,"[7, 6]",2161
2,"[20, 47]",2164
1,[59],2169
2,"[64, 1]",2178
2,"[21, 29]",2183
88,"[43, 47, 84, 58, 66, 13, 35, 13, 48, 27, 23, 46, 77, 32, 60, 20, 45, 30, 84, 60, 23, 50, 53, 54, 44, 15, 76, 37, 69, 33, 17, 62, 67, 67, 55, 82, 34, 24, 64, 33, 13, 17, 49, 21, 47, 84, 77, 58, 21, 49, 59, 0, 79, 50, 28, 44, 44, 44, 81, 76, 31, 31, 78, 13, 66, 47, 68, 86, 44, 51, 23, 2, 86, 26, 28, 84, 73, 10, 66, 78, 22, 82, 26, 32, 36, 67, 59, 14]",2191
1,[70],2197
1,[16],2203
4,"[49, 82, 73, 54]",2208
27,"[30, 1, 33, 31, 16, 19, 42, 16, 2, 13, 3, 43, 37, 25, 1, 15, 43, 16, 14, 43, 16, 43, 42, 20, 17, 21, 34]",2213
1,[44],2217
3,"[17, 33, 60]",2223
1,[39],2232
3,"[17, 23, 5]",2236
2,"[39, 50]",2242
1,[82],2246
175,"[76, 1, 56, 56, 7, 8, 65, 55, 35, 22, 8, 76, 56, 47, 82, 56, 76, 3, 1, 55, 26, 52, 66, 0, 28, 66, 6, 68, 27, 67, 51, 27, 67, 6, 50, 80, 14, 5, 27, 49, 49, 27, 14, 14, 79, 79, 49, 67, 49, 80, 50, 49, 66, 26, 47, 24, 29, 55, 15, 55, 37, 66, 54, 85, 3, 0, 54, 54, 15, 25, 66, 54, 68, 14, 25, 3, 25, 53, 36, 47, 25, 78, 66, 53, 6, 15, 81, 3, 22, 2, 39, 17, 11, 63, 20, 17, 83, 75, 74, 71, 16, 63, 61, 1, 34, 3, 31, 64, 2, 43, 38, 45, 46, 59, 59, 3, 82, 70, 34, 82, 82, 30, 12, 13, 58, 34, 10, 32, 21, 40, 61, 64, 30, 57, 33, 22, 64, 20, 10, 41, 63, 70, 31, 11, 10, 60, 19, 57, 40, 59, 57, 59, 73, 84, 73, 62, 18, 36, 58, 42, 30, 13, 46, 10, 22, 57, 82, 44, 59, 9, 57, 21, 82, 44, 29]",2252
1,[44],2254
2,"[30, 56]",2264
1,[31],2272
1,[58],2278
1,[46],2285
2,"[27, 24]",2292
1,[28],2300
1,[76],2310
11,"[47, 52, 50, 62, 44, 2, 57, 39, 22, 20, 48]",2319
1,[50],2327
2,"[35, 84]",2333
1,[82],2339
1,[84],2345
1,[74],2354
1,[37],2363
1,[47],2371
1,[28],2376
1,[35],2382
1,[67],2392
1,[64],2400
1,[15],2409
2,"[15, 67]",2420
3,"[44, 48, 51]",2428
4,"[84, 86, 76, 84]",2437
1,[63],2445
6,"[65, 29, 62, 62, 58, 62]",2452
1,[83],2461
1,[47],2468
1,[25],2474
3,"[77, 84, 86]",2484
1,[56],2489
1,[9],2498
1,[82],2507
1,[66],2513
1,[16],2521
1,[17],2529
1,[37],2540
1,[36],2549
9,"[76, 1, 47, 28, 43, 57, 46, 75, 48]",2558
2,"[59, 34]",2565
1,[59],2575
2,"[55, 30]",2582
3,"[55, 55, 17]",2594
1,[13],2603
8,"[27, 33, 34, 60, 23, 58, 26, 17]",2610
1,[44],2620
1,[47],2627
1,[41],2637
1,[70],2647
2,"[36, 54]",2654
1,[30],2660
1,[79],2672
1,[66],2679
3,"[37, 19, 81]",2687
1,[29],2696
1,[34],2703
1,[76],2709
1,[81],2718
1,[51],2724
1,[47],2734
2,"[14, 14]",2745
1,[26],2758
3,"[85, 80, 79]",2770
1,[32],2779
2,"[77, 75]",2786
2,"[58, 77]",2796
1,[1],2806
1,[86],2812
1,[15],2819
2,"[55, 49]",2828
2,"[55, 62]",2837
1,[8],2847
4,"[73, 84, 84, 82]",2851
1,[30],2860
1,[36],2869
2,"[19, 49]",2875
2,"[22, 23]",2882
1,[59],2892
1,[67],2907
1,[2],2913
1,[25],2923
1,[74],2929
1,[21],2939
1,[34],2947
1,[82],2957
1,[38],2965
1,[43],2971
2,"[27, 27]",2981
1,[83],2989
4,"[29, 2, 82, 37]",2996
1,[36],3005
1,[2],3012
5,"[78, 9, 63, 56, 80]",3020
1,[22],3023
1,[65],3026
1,[16],3031
3,"[37, 13, 63]",3039
1,[22],3042
1,[41],3047
2,"[2, 2]",3051
3,"[3, 16, 84]",3056
3,"[51, 15, 38]",3060
1,[79],3065
1,[80],3069
4,"[16, 9, 9, 17]",3075
1,[3],3080
1,[16],3083
2,"[16, 3]",3090
2,"[18, 34]",3093
6,"[54, 54, 7, 36, 26, 18]",3102
1,[15],3109
1,[69],3115
1,[64],3123
1,[25],3127
1,[27],3134
3,"[50, 50, 59]",3140
1,[4],3146
1,[23],3151
1,[3],3156
8,"[50, 59, 64, 23, 50, 17, 59, 49]",3162
2,"[70, 76]",3167
8,"[35, 9, 44, 44, 59, 15, 15, 35]",3171
2,"[62, 62]",3176
1,[18],3180
1,[9],3185
1,[28],3189
1,[36],3195
1,[45],3199
11,"[28, 27, 27, 58, 39, 27, 60, 54, 18, 24, 60]",3204
1,[54],3213
1,[23],3218
1,[54],3225
3,"[34, 27, 28]",3230
8,"[46, 0, 1, 2, 69, 4, 3, 6]",3236
15,"[37, 25, 71, 73, 25, 22, 71, 21, 76, 67, 32, 7, 36, 23, 51]",3242
2,"[25, 27]",3246
2,"[23, 23]",3255
3,"[34, 27, 28]",3263
1,[59],3266
1,[24],3270
2,"[20, 52]",3273
1,[7],3279
4,"[49, 54, 6, 84]",3281
2,"[33, 35]",3286
1,[59],3292
1,[16],3299
1,[39],3307
1,[16],3311
2,"[81, 81]",3319
1,[7],3325
1,[28],3331
1,[24],3340
1,[32],3349
4,"[44, 47, 44, 49]",3354
1,[49],3358
1,[60],3367
1,[27],3373
4,"[29, 15, 4, 2]",3379
5,"[11, 11, 29, 29, 11]",3385
17,"[47, 62, 59, 59, 52, 62, 52, 62, 59, 59, 59, 82, 59, 24, 59, 62, 62]",3396
1,[59],3402
1,[19],3411
1,[70],3419
1,[70],3426
1,[43],3434
1,[51],3440
1,[16],3448
6,"[44, 44, 44, 44, 44, 59]",3453
2,"[10, 10]",3459
1,[48],3466
1,[70],3468
5,"[83, 83, 63, 83, 83]",3473
1,[75],3479
1,[40],3485
1,[39],3489
2,"[10, 11]",3492
2,"[12, 12]",3500
5,"[78, 78, 78, 59, 78]",3504
2,"[27, 64]",3506
1,[31],3509
4,"[66, 66, 66, 66]",3514
2,"[66, 66]",3518
4,"[66, 66, 66, 66]",3524
6,"[73, 82, 83, 69, 69, 78]",3530
1,[63],3536
1,[44],3541
3,"[58, 45, 45]",3545
1,[46],3550
11,"[64, 64, 8, 8, 12, 12, 22, 22, 22, 64, 47]",3556
1,[20],3559
3,"[25, 20, 27]",3567
7,"[16, 70, 37, 70, 81, 74, 59]",3574
2,"[14, 14]",3578
12,"[1, 24, 29, 3, 31, 66, 31, 68, 35, 31, 17, 23]",3583
1,[67],3589
5,"[76, 86, 77, 74, 74]",3599
2,"[24, 28]",3604
3,"[41, 41, 41]",3606
2,"[16, 53]",3611
1,[66],3616
2,"[44, 55]",3624
2,"[28, 18]",3627
1,[11],3631
1,[41],3640
1,[56],3654
2,"[27, 30]",3661
8,"[46, 13, 9, 13, 53, 84, 17, 2]",3669
6,"[13, 76, 69, 68, 17, 60]",3674
20,"[51, 78, 25, 68, 51, 84, 78, 17, 25, 57, 65, 27, 36, 63, 17, 63, 17, 82, 65, 59]",3679
1,[54],3683
1,[86],3690
2,"[29, 21]",3695
5,"[1, 41, 41, 41, 1]",3700
1,[70],3705
1,[66],3711
1,[67],3717
1,[17],3724
1,[57],3729
2,"[63, 63]",3735
3,"[78, 82, 27]",3739
1,[1],3747
1,[41],3752
1,[33],3760
2,"[21, 7]",3765
1,[36],3770
2,"[11, 11]",3778
1,[33],3782
2,"[57, 59]",3787
10,"[36, 59, 79, 51, 23, 11, 1, 18, 17, 17]",3793
3,"[47, 47, 47]",3799
1,[39],3801
3,"[32, 32, 32]",3806
2,"[18, 28]",3815
1,[35],3820
1,[69],3827
1,[49],3832
4,"[21, 56, 53, 56]",3837
2,"[41, 41]",3842
6,"[81, 61, 59, 54, 16, 73]",3844
1,[47],3849
1,[48],3855
1,[47],3859
2,"[3, 3]",3866
1,[59],3870
1,[41],3872
1,[43],3874
3,"[79, 79, 30]",3878
2,"[15, 13]",3882
1,[50],3886
1,[57],3888
3,"[39, 78, 78]",3892
1,[44],3897
1,[52],3905
8,"[35, 16, 28, 12, 7, 21, 31, 30]",3907
1,[62],3912
7,"[51, 83, 12, 78, 46, 51, 26]",3920
1,[18],3929
2,"[3, 16]",3935
2,"[51, 58]",3944
9,"[69, 33, 1, 6, 24, 0, 4, 2, 3]",3952
6,"[34, 35, 35, 62, 16, 43]",3956
1,[14],3965
7,"[29, 22, 56, 43, 28, 27, 16]",3970
1,[27],3975
76,"[66, 29, 67, 13, 37, 44, 33, 28, 85, 38, 48, 51, 47, 52, 30, 17, 44, 61, 53, 54, 77, 37, 65, 38, 31, 17, 51, 47, 67, 43, 36, 67, 37, 62, 27, 76, 50, 44, 70, 20, 48, 46, 62, 59, 40, 21, 5, 20, 58, 84, 15, 70, 21, 49, 66, 50, 26, 82, 48, 19, 82, 44, 39, 16, 51, 62, 29, 74, 22, 36, 33, 14, 66, 48, 62, 22]",3982
1,[74],3985
4,"[54, 54, 42, 46]",3991
3,"[11, 9, 11]",4000
1,[69],4014
1,[20],4027
1,[66],4036
1,[16],4049
1,[78],4055
2,"[26, 26]",4061
1,[75],4068
3,"[49, 49, 1]",4073
1,[75],4078
